-6	141	-16	-2	-4	8	-16	-6	0	
-9	142	-16	-1	-7	8	-14	-5	0	
-8	143	-15	-1	-5	11	-13	-3	0	
-3	143	-15	0	-3	11	-13	-2	0	
-6	145	-15	1	-4	7	-15	-5	0	
-8	143	-17	0	-4	6	-13	-3	0	
-11	140	-18	-5	-4	6	-15	-7	0	
-9	141	-17	-2	-5	8	-13	-8	0	
-7	143	-17	-2	-5	5	-16	-7	0	
-7	144	-15	0	-7	4	-15	-5	0	
-8	144	-10	2	-6	7	-12	-5	0	
-9	142	-15	0	-6	8	-15	-5	0	
-9	139	-18	-3	-7	8	-16	-1	0	
-7	143	-16	-5	-7	6	-18	-4	0	
-6	140	-17	-6	-9	2	-19	-7	0	
-7	142	-12	-2	-6	7	-14	-6	0	
-5	144	-12	-3	-2	8	-13	-9	0	
-5	144	-13	-1	-6	2	-16	-5	0	
-7	146	-10	-3	-7	9	-15	0	0	
-1	145	-12	-3	-6	10	-14	-2	0	
-7	144	-13	0	-10	5	-14	-1	0	
-3	144	-15	-3	-8	5	-15	-6	0	
-2	143	-15	0	-11	1	-16	-4	0	
-9	142	-14	2	-10	4	-14	0	0	
-9	147	-13	0	-5	6	-13	0	0	
-7	145	-14	-1	-6	4	-18	0	0	
-5	145	-14	-1	-4	8	-18	0	0	
-3	145	-15	-1	-6	8	-17	0	0	
-10	146	-11	1	-8	6	-15	-1	0	
-9	147	-13	0	-5	8	-12	-6	0	
-7	146	-15	-3	-6	7	-12	-4	0	
-3	145	-17	-2	-8	7	-15	-1	0	
-3	145	-17	-3	-6	10	-17	-1	0	
-4	145	-14	0	-7	9	-17	0	0	
-4	146	-13	0	-5	8	-16	-5	0	
-5	146	-13	3	-6	7	-16	-7	0	
-7	145	-13	2	-7	7	-14	-2	0	
-4	148	-14	-1	-5	9	-16	-4	0	
-5	143	-16	1	-6	7	-16	-12	0	
-6	147	-11	5	-6	10	-14	-6	0	
-5	149	-14	6	-5	12	-15	-6	0	
-6	147	-10	3	-6	9	-16	0	0	
-7	146	-10	2	-6	12	-14	-3	0	
-6	147	-13	1	-4	7	-18	-10	0	
-11	144	-11	4	-7	4	-19	-6	0	
-9	145	-10	4	-6	6	-16	0	0	
-11	145	-13	1	-6	8	-16	-3	0	
-9	148	-9	2	-5	8	-16	-3	0	
-9	146	-11	1	-5	5	-20	-7	0	
-13	145	-12	6	-9	7	-18	-6	0	
-12	147	-10	3	-8	11	-15	-7	0	
-8	148	-13	5	-5	10	-18	-6	0	
-7	147	-15	4	-5	9	-16	-5	0	
-12	147	-14	0	-4	9	-16	-8	0	
-11	146	-13	0	-7	7	-15	-7	0	
-11	147	-13	-2	-6	7	-15	-5	0	
-9	148	-12	1	-7	6	-14	-3	0	
-10	148	-13	8	-8	6	-13	0	0	
-9	145	-13	3	-3	11	-12	0	0	
-10	142	-17	0	-1	11	-14	-3	0	
-10	142	-16	-1	-4	12	-15	-5	0	
-12	142	-19	-1	-4	9	-16	-9	0	
-12	144	-14	3	-5	8	-15	-7	0	
-10	147	-10	6	-4	12	-12	-3	0	
-12	143	-13	0	-5	11	-17	-3	0	
-13	140	-16	-1	-5	7	-17	-3	0	
-10	142	-13	-3	-4	8	-17	-6	0	
-9	142	-13	0	-4	9	-16	-6	0	
-8	143	-11	0	-3	7	-14	-8	0	
-7	144	-12	-1	-3	8	-19	-10	0	
-7	143	-17	-1	-3	10	-18	-7	0	
-10	141	-14	0	-4	12	-17	-5	0	
-9	141	-14	-1	-2	10	-17	-9	0	
-9	142	-16	0	-5	7	-17	-9	0	
-8	144	-16	-1	-1	11	-16	-8	0	
-7	144	-15	2	-5	8	-19	-7	0	
-8	145	-11	2	-4	10	-17	-6	0	
-6	148	-12	0	0	12	-15	-8	0	
-5	148	-12	1	-1	10	-16	-7	0	
-4	147	-13	2	-1	10	-14	-7	0	
-5	142	-14	-2	0	7	-18	-10	0	
